iter	RMSE
0	452.7400951
1	450.1534797
2	447.7958487
3	445.6785483
4	443.6458805
5	441.8053628
6	440.1364205
7	438.6533162
8	437.251235
9	435.9633572
10	434.7358507
11	433.6461284
12	432.6480391
13	431.7491406
14	430.9253589
15	430.1274862
16	429.3617669
17	428.6945224
18	428.0235718
19	427.4068082
20	426.8457243
21	426.320738
22	425.8827467
23	425.4691621
24	424.9805703
25	424.5566687
26	424.2034377
27	423.7873165
28	423.4883459
29	423.1231204
30	422.8383711
31	422.5866717
32	422.3234447
33	422.0516249
34	421.8369114
35	421.5446924
36	421.2888498
37	421.0228901
38	420.8169587
39	420.6614263
40	420.4697967
41	420.2929865
42	420.1008752
43	419.9503814
44	419.8058882
45	419.6174833
46	419.4981843
47	419.3722993
48	419.2011885
49	419.0579845
50	418.945775
51	418.8262236
52	418.7187844
53	418.6031436
54	418.5004131
55	418.405652
56	418.3155715
57	418.2309368
58	418.1188954
59	418.0261677
60	417.9185599
61	417.8161507
62	417.7442796
63	417.6159742
64	417.5048712
65	417.4591312
66	417.3715996
67	417.3088279
68	417.2430779
69	417.1927581
70	417.115014
71	417.0426592
72	416.9841773
73	416.8926935
74	416.818575
75	416.7627957
76	416.7144492
77	416.6574418
78	416.5692943
79	416.5156828
80	416.4705719
81	416.3963203
82	416.3624587
83	416.3127385
84	416.2412393
85	416.1868405
86	416.1391128
87	416.0865415
88	416.0344126
89	416.0004884
90	415.9391332
91	415.8871812
92	415.8440425
93	415.8036256
94	415.741796
95	415.6786657
96	415.6303821
97	415.5765977
98	415.5355253
99	415.502547
