iter	Passed	Remaining
0	32	3229
1	64	3146
2	95	3089
3	125	3010
4	155	2952
5	196	3073
6	227	3018
7	264	3041
8	295	2990
9	333	3004
10	365	2958
11	398	2919
12	441	2957
13	475	2917
14	509	2885
15	543	2851
16	576	2815
17	612	2788
18	650	2772
19	697	2789
20	732	2755
21	767	2722
22	803	2689
23	836	2648
24	869	2609
25	901	2567
26	948	2564
27	983	2530
28	1016	2488
29	1047	2444
30	1078	2400
31	1109	2357
32	1139	2314
33	1170	2272
34	1209	2245
35	1240	2205
36	1268	2159
37	1297	2116
38	1327	2076
39	1357	2036
40	1388	1998
41	1420	1962
42	1456	1930
43	1486	1891
44	1514	1851
45	1542	1811
46	1574	1775
47	1604	1738
48	1633	1699
49	1665	1665
50	1706	1639
51	1735	1602
52	1766	1566
53	1794	1528
54	1828	1495
55	1864	1465
56	1894	1429
57	1927	1395
58	1965	1365
59	1994	1329
60	2023	1293
61	2053	1258
62	2083	1223
63	2112	1188
64	2145	1155
65	2185	1125
66	2217	1092
67	2248	1057
68	2278	1023
69	2308	989
70	2337	954
71	2368	921
72	2399	887
73	2439	857
74	2474	824
75	2507	791
76	2542	759
77	2575	726
78	2609	693
79	2640	660
80	2677	628
81	2720	597
82	2753	563
83	2785	530
84	2817	497
85	2849	463
86	2880	430
87	2908	396
88	2943	363
89	2974	330
90	3006	297
91	3038	264
92	3072	231
93	3104	198
94	3134	164
95	3163	131
96	3200	98
97	3237	66
98	3266	32
99	3300	0
