source_dataset,category,vehicle_type,from_stand,to_location,fare_amount,fare_type
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,APP Bn. Gate,150,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,All India Radio,180,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Abo-Tani Colony,70,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Bank Tinali,400,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Bath basti,100,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Gompa Mandir,100,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,B.S.I Colony,800,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,B/Dewa Check Gate,200,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Circuit House,180,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Chimpu,250,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Directorate of sports,150,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,K.V No.,170,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Corporation Colony,180,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,CWC. VKV.,450,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Chimi village,40,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Chandra staff colony,50,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,C-Sector,40,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Division-IV,60,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,D.D.K Colony,40,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,D.N College,30,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Donyi Colony,40,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,D-Sector,50,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Dokum Colony,150,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Dony Polo VidyaBhawan,50,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,E.S.S Sector,30,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,F & G Sector,30,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,VivekVihar,50,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,G.S.I Colony,150,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Ganga lake,60,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Ganga village,50,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,GohpurTinali,30,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Holy Child School,30,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,H-Sector,400,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Hollongi,30,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Hr. Sec. School,80,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Hotel Ashoka,80,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,Itafort,40,fixed
aru_dto_2019,auto_rickshaw,auto_rickshaw,Ganga Market Itanagar,I.G park,80,fixed
