source_dataset,vehicle_type,ac_type,distance_km,fare_amount,base_fare,base_km,per_km_rate
delhi_notification_2023,auto_rickshaw,na,0-1.5,30.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,1.6,31.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,1.7,32.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,1.8,33.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,1.9,34.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,2.0,35.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,2.1,36.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,2.2,37.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,2.3,38.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,2.4,39.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,2.5,41.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,2.6,42.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,2.7,43.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,2.8,44.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,2.9,45.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,3.0,46.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,3.1,47.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,3.2,48.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,3.3,49.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,3.4,50.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,3.5,52.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,3.6,53.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,3.7,54.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,3.8,55.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,3.9,56.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,4.0,57.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,4.1,58.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,4.2,59.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,4.3,60.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,4.4,61.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,4.5,63.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,4.6,64.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,4.7,65.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,4.8,66.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,4.9,67.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,5.0,68.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,5.1,69.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,5.2,70.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,5.3,71.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,5.4,72.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,5.5,74.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,5.6,75.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,5.7,76.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,5.8,77.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,5.9,78.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,6.0,79.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,6.1,80.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,6.2,81.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,6.3,82.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,6.4,83.9,30.0,1.5,11.0
