source_dataset,date,time,vehicle_type,pickup_location,drop_location,distance_km,fare_amount,payment_method,status,driver_rating,customer_rating
indore_ola,2025-01-19,15:24,Bike,Pipliyahana,Rajendra Nagar,14.3,640,,Success,4.4,4.1
indore_ola,2025-01-17,22:54,Mini,Scheme No. 140,Rau,3.71,1145,,Canceled by Driver,,
indore_ola,2025-01-01,05:42,Prime Sedan,Rau,Aerodrome Road,10.8,307,,Canceled by Driver,,
indore_ola,2025-01-14,17:22,Prime SUV,Scheme No. 54,Lokmanya Nagar,11.14,202,,Success,4.8,4.4
indore_ola,2025-01-04,02:24,eBike,Malharganj,Chhoti Gwaltoli,17.97,582,,Success,4.3,4.2
indore_ola,2025-01-01,22:16,Mini,Saket Nagar,Rau,17.07,175,,Canceled by Driver,,
indore_ola,2025-01-18,21:42,eBike,Hira Nagar,LIG Colony,14.62,355,,Success,3.3,3.8
indore_ola,2025-01-29,09:09,Prime Plus,Chhoti Gwaltoli,Saket Nagar,13.56,262,,Canceled by Customer,,
indore_ola,2025-01-16,23:56,Bike,Scheme No. 114,Nanda Nagar,6.4,423,,Canceled by Driver,,
indore_ola,2025-01-13,11:54,eBike,Scheme No. 71,Navlakha,5.72,476,,Incomplete,,
indore_ola,2025-01-26,06:01,Auto,Rajendra Nagar,Palasia,9.35,697,,Success,4.4,3.9
indore_ola,2025-01-14,12:04,Prime SUV,Annapurna,Mhow Naka,9.84,551,,Success,4.9,4.5
indore_ola,2025-01-12,16:08,Bike,Annapurna,South Tukoganj,7.88,535,,Canceled by Customer,,
indore_ola,2025-01-11,02:31,Prime SUV,Bhawarkua,Palasia,19.91,447,,Success,4.7,3.2
indore_ola,2025-01-15,22:40,eBike,AB Road,Lasudia Mori,19.44,319,,Success,3.2,3.9
indore_ola,2025-01-03,19:27,Prime SUV,Scheme No. 71,Malharganj,2.97,407,,Success,4.6,5.0
indore_ola,2025-01-17,04:01,Auto,Lasudia Mori,Bhawarkua,16.2,190,,Success,3.3,4.7
indore_ola,2025-01-31,13:28,eBike,MR 1,Hira Nagar,2.88,172,,Success,4.0,4.1
indore_ola,2025-01-01,03:50,Prime SUV,Banganga,Ring Road,7.76,820,,Success,3.5,3.9
indore_ola,2025-01-16,05:44,Mini,Tilak Nagar,Lasudia Mori,17.3,491,,Success,3.3,4.1
indore_ola,2025-01-31,04:10,Prime SUV,MR 9,Scheme No. 78,11.24,370,,Success,3.3,3.9
indore_ola,2025-01-06,21:33,Prime SUV,Nanda Nagar,Khajrana,17.2,310,,Success,4.6,4.9
indore_ola,2025-01-14,04:19,Auto,MR 4,Scheme No. 73,11.18,429,,Canceled by Driver,,
indore_ola,2025-01-04,14:06,Auto,Khajrana,MR 9,2.17,799,,Canceled by Driver,,
indore_ola,2025-01-07,23:24,Prime Sedan,Scheme No. 114,MR 1,3.66,374,,Canceled by Customer,,
indore_ola,2025-01-17,06:13,Mini,Rajendra Nagar,MG Road,4.7,147,,Canceled by Customer,,
indore_ola,2025-01-11,14:08,Prime Plus,MR 4,Bhanwarkuan,3.08,184,,Incomplete,,
indore_ola,2025-01-20,20:10,Mini,Scheme No. 54,MR 10,15.39,210,,Success,3.0,4.3
indore_ola,2025-01-07,12:35,Prime Plus,Scheme No. 72,Geeta Bhawan,14.89,699,,Success,3.7,3.4
indore_ola,2025-01-21,22:00,Mini,LIG Colony,MR 3,5.66,130,,Success,3.9,4.8
indore_ola,2025-01-28,15:29,Mini,Scheme No. 114,Hira Nagar,5.94,219,,Success,3.2,3.1
indore_ola,2025-01-08,14:47,Prime SUV,Scheme No. 94,Aerodrome Road,11.09,457,,Incomplete,,
indore_ola,2025-01-30,09:05,Auto,Scheme No. 73,Scheme No. 140,4.62,601,,Canceled by Driver,,
indore_ola,2025-01-19,08:46,eBike,Aerodrome Road,Scheme No. 72,18.81,529,,Success,4.2,3.4
indore_ola,2025-01-06,21:00,Prime Sedan,MR 1,South Tukoganj,12.86,536,,Canceled by Driver,,
indore_ola,2025-01-30,02:00,Prime Sedan,Scheme No. 74,LIG Colony,3.09,191,,Success,3.9,4.2
indore_ola,2025-01-18,08:35,Prime Sedan,Geeta Bhawan,Scheme No. 72,19.25,211,,Success,4.7,3.7
indore_ola,2025-01-22,14:30,Prime SUV,Ring Road,Lokmanya Nagar,12.14,132,,Canceled by Customer,,
indore_ola,2025-01-29,15:54,Bike,Silicon City,Bada Gwaltoli,5.25,1995,,Canceled by Customer,,
indore_ola,2025-01-18,23:32,Prime Plus,Scheme No. 94,Bhawarkua,3.66,519,,Success,3.8,4.9
indore_ola,2025-01-18,22:42,eBike,Silicon City,South Tukoganj,9.9,1170,,Success,3.1,3.4
indore_ola,2025-01-27,04:09,Auto,Scheme No. 73,Vijay Nagar,7.92,548,,Success,3.0,4.4
indore_ola,2025-01-04,10:03,Auto,Scheme No. 74,Banganga,5.4,613,,Success,4.7,4.8
indore_ola,2025-01-28,04:28,eBike,Super Corridor,MR 3,3.91,310,,Success,4.9,3.8
indore_ola,2025-01-16,01:32,Mini,Scheme No. 140,Bada Gwaltoli,12.74,374,,Canceled by Driver,,
indore_ola,2025-01-30,23:08,eBike,Saket Nagar,Lasudia Mori,5.29,253,,Incomplete,,
